OrphaCode,DiseaseName,PrevalenceType,PrevalenceQualification,PrevalenceClass,ValMoy,PrevalenceGeographic
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Cases/families,Case(s),,4.0,Worldwide
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Cases/families,Case(s),,2.0,Worldwide
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
58,Alexander disease,Annual incidence,Value and class,<1 / 1 000 000,0.037,Japan
58,Alexander disease,Point prevalence,Class only,Unknown,0.0,Worldwide
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Cases/families,Case(s),,3.0,Worldwide
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
61,Alpha-mannosidosis,Point prevalence,Value and class,1-9 / 1 000 000,0.1,Europe
61,Alpha-mannosidosis,Prevalence at birth,Value and class,<1 / 1 000 000,0.09,Australia
61,Alpha-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.13,Norway
61,Alpha-mannosidosis,Prevalence at birth,Value and class,<1 / 1 000 000,0.09,Netherlands
61,Alpha-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.12,Portugal
61,Alpha-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.38,Czech Republic
61,Alpha-mannosidosis,Prevalence at birth,Value and class,<1 / 1 000 000,0.07,Sweden
166038,"Metaphyseal chondrodysplasia, Kaitila type",Cases/families,Case(s),,2.0,Worldwide
166038,"Metaphyseal chondrodysplasia, Kaitila type",Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Cases/families,Case(s),,12.0,Worldwide
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
93,Aspartylglucosaminuria,Prevalence at birth,Value and class,1-9 / 1 000 000,0.2,Australia
93,Aspartylglucosaminuria,Point prevalence,Class only,Unknown,0.0,Worldwide
93,Aspartylglucosaminuria,Prevalence at birth,Value and class,1-9 / 1 000 000,0.62,Sweden
93,Aspartylglucosaminuria,Prevalence at birth,Value and class,1-9 / 100 000,3.35,Finland
585,Multiple sulfatase deficiency,Cases/families,Case(s),,154.0,Worldwide
585,Multiple sulfatase deficiency,Point prevalence,Value and class,1-9 / 1 000 000,0.2,Worldwide
118,Beta-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.14,Europe
118,Beta-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.16,Czech Republic
118,Beta-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.13,Netherlands
118,Beta-mannosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.12,Portugal
118,Beta-mannosidosis,Point prevalence,Class only,Unknown,0.0,Worldwide
141,Canavan disease,Point prevalence,Class only,Unknown,0.0,Worldwide
141,Canavan disease,Annual incidence,Value and class,1-9 / 100 000,7.0,Specific population
141,Canavan disease,Prevalence at birth,Value and class,1-9 / 100 000,1.0,Worldwide
166063,Pontocerebellar hypoplasia type 4,Cases/families,Family(ies),,10.0,Worldwide
166063,Pontocerebellar hypoplasia type 4,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
166078,Von Willebrand disease type 1,Point prevalence,Class only,1-5 / 10 000,0.0,Europe
166073,Pontocerebellar hypoplasia type 6,Cases/families,Case(s),,10.0,Worldwide
166073,Pontocerebellar hypoplasia type 6,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.75,Worldwide
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.5,Europe
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.31,France
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.59,Germany
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 100 000,2.1,United Kingdom
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.52,Australia
213,Cystinosis,Point prevalence,Value and class,1-9 / 100 000,1.5,Europe
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.87,Denmark
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.38,Sweden
213,Cystinosis,Prevalence at birth,Value and class,1-9 / 100 000,1.6,Specific population
166084,Von Willebrand disease type 2A,Point prevalence,Class only,Unknown,0.0,Worldwide
333,Farber disease,Cases/families,Case(s),,96.0,Worldwide
333,Farber disease,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
166081,Von Willebrand disease type 2,Point prevalence,Class only,1-9 / 1 000 000,0.935,Worldwide
349,Fucosidosis,Cases/families,Case(s),,161.0,Worldwide
349,Fucosidosis,Point prevalence,Value and class,<1 / 1 000 000,0.06,Worldwide
349,Fucosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.1,Sweden
349,Fucosidosis,Prevalence at birth,Value and class,1-9 / 1 000 000,0.63,Cuba
166090,Von Willebrand disease type 2M,Point prevalence,Class only,Unknown,0.0,Worldwide
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-9 / 1 000 000,0.8,Europe
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-9 / 1 000 000,0.17,Portugal
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-9 / 1 000 000,0.83,Italy
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,2.25,Netherlands
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-9 / 1 000 000,0.37,Czech Republic
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-5 / 10 000,11.5,Austria
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,2.5,United States
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-9 / 1 000 000,0.68,Australia
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,2.0,China
365,Glycogen storage disease due to acid maltase deficiency,Point prevalence,Class only,Unknown,0.0,Worldwide
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-9 / 1 000 000,0.72,Sweden
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,2.3,Israel
365,Glycogen storage disease due to acid maltase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,4.8,Specific population
365,Glycogen storage disease due to acid maltase deficiency,Point prevalence,Value and class,1-9 / 100 000,3.0,Europe
166087,Von Willebrand disease type 2B,Point prevalence,Class only,Unknown,0.0,Worldwide
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Prevalence at birth,Value and class,1-9 / 100 000,1.0,United States
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,Point prevalence,Class only,Unknown,0.0,Worldwide
166093,Von Willebrand disease type 2N,Point prevalence,Class only,Unknown,0.0,Worldwide
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Point prevalence,Class only,Unknown,0.0,Worldwide
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Point prevalence,Value and class,1-9 / 1 000 000,0.035,Spain
166096,Von Willebrand disease type 3,Point prevalence,Value and class,1-9 / 1 000 000,0.1865,Worldwide
166096,Von Willebrand disease type 3,Point prevalence,Value and class,<1 / 1 000 000,0.037,Austria
166096,Von Willebrand disease type 3,Point prevalence,Value and class,<1 / 1 000 000,0.24,Finland
166096,Von Willebrand disease type 3,Point prevalence,Value and class,<1 / 1 000 000,0.016,France
166096,Von Willebrand disease type 3,Prevalence at birth,Value and class,<1 / 1 000 000,0.044,Greece
166096,Von Willebrand disease type 3,Point prevalence,Value and class,<1 / 1 000 000,0.16,Israel
166096,Von Willebrand disease type 3,Point prevalence,Value and class,<1 / 1 000 000,0.055,Italy
166096,Von Willebrand disease type 3,Point prevalence,Value and class,<1 / 1 000 000,0.037,Netherlands
166096,Von Willebrand disease type 3,Point prevalence,Value and class,1-9 / 1 000 000,0.25,Norway
166096,Von Willebrand disease type 3,Point prevalence,Value and class,<1 / 1 000 000,0.022,Portugal
166096,Von Willebrand disease type 3,Point prevalence,Value and class,<1 / 1 000 000,0.011,Spain
166096,Von Willebrand disease type 3,Point prevalence,Value and class,1-9 / 1 000 000,0.312,Sweden
166096,Von Willebrand disease type 3,Point prevalence,Value and class,<1 / 1 000 000,0.027,United Kingdom
367,Glycogen storage disease due to glycogen branching enzyme deficiency,Prevalence at birth,Value and class,1-9 / 1 000 000,0.1,Worldwide
367,Glycogen storage disease due to glycogen branching enzyme deficiency,Point prevalence,Class only,Unknown,0.0,Worldwide
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Cases/families,Case(s),,100.0,Worldwide
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Cases/families,Case(s),,3.0,Worldwide
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Point prevalence,Class only,Unknown,0.0,Worldwide
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,2.3,Israel
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Prevalence at birth,Value and class,1-9 / 100 000,4.8,Specific population
447,Paroxysmal nocturnal hemoglobinuria,Annual incidence,Value and class,1-9 / 1 000 000,0.35,United Kingdom
447,Paroxysmal nocturnal hemoglobinuria,Point prevalence,Value and class,1-9 / 100 000,3.81,United Kingdom
447,Paroxysmal nocturnal hemoglobinuria,Point prevalence,Value and class,1-9 / 100 000,2.0,Europe
166108,Birk-Barel syndrome,Cases/families,Family(ies),,1.0,Worldwide
166108,Birk-Barel syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
166113,Bazex syndrome,Cases/families,Case(s),,145.0,Worldwide
166113,Bazex syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
535,Rare cutaneous lupus erythematosus,Point prevalence,Value and class,1-5 / 10 000,50.0,Europe
535,Rare cutaneous lupus erythematosus,Annual incidence,Value and class,1-9 / 100 000,4.3,United States
535,Rare cutaneous lupus erythematosus,Point prevalence,Value and class,6-9 / 10 000,73.0,United States
535,Rare cutaneous lupus erythematosus,Annual incidence,Value and class,1-9 / 100 000,4.0,Sweden
166119,Isolated osteopoikilosis,Point prevalence,Value and class,1-9 / 100 000,2.0,Worldwide
166119,Isolated osteopoikilosis,Annual incidence,Value and class,1-9 / 100 000,2.0,Worldwide
487,Krabbe disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.327,United States
487,Krabbe disease,Point prevalence,Value and class,1-9 / 100 000,1.0,Europe
487,Krabbe disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.7,Worldwide
487,Krabbe disease,Prevalence at birth,Value and class,1-9 / 100 000,1.0,Europe
487,Krabbe disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.7,France
487,Krabbe disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.71,Australia
487,Krabbe disease,Prevalence at birth,Value and class,1-9 / 100 000,1.35,Netherlands
487,Krabbe disease,Prevalence at birth,Value and class,1-9 / 100 000,1.21,Portugal
487,Krabbe disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.6,Germany
487,Krabbe disease,Prevalence at birth,Value and class,1-9 / 100 000,1.0,Turkey
487,Krabbe disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.4,Czech Republic
487,Krabbe disease,Prevalence at birth,Value and class,1-9 / 100 000,1.9,Sweden
166260,Dentinogenesis imperfecta type 2,Point prevalence,Value and class,1-5 / 10 000,14.6,Europe
166265,Dentinogenesis imperfecta type 3,Point prevalence,Class only,Unknown,0.0,Worldwide
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.16,Europe
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.23,Germany
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.15,Netherlands
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.42,Portugal
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.23,Sweden
583,Mucopolysaccharidosis type 6,Point prevalence,Value and class,1-9 / 100 000,3.3,Sweden
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,<1 / 1 000 000,0.07,Norway
583,Mucopolysaccharidosis type 6,Point prevalence,Value and class,1-9 / 100 000,2.2,Norway
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,<1 / 1 000 000,0.05,Denmark
583,Mucopolysaccharidosis type 6,Point prevalence,Value and class,1-9 / 100 000,3.7,Denmark
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,<1 / 1 000 000,0.05,Czech Republic
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.37,Australia
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.1,Canada
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.14,"Taiwan, Province of China"
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.27,Estonia
583,Mucopolysaccharidosis type 6,Point prevalence,Value and class,<1 / 1 000 000,0.059,Colombia
583,Mucopolysaccharidosis type 6,Point prevalence,Value and class,1-9 / 1 000 000,0.16,Europe
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 100 000,2.3,Turkey
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,<1 / 1 000 000,0.0132,Poland
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 100 000,7.85,Saudi Arabia
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.28,Brazil
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,<1 / 1 000 000,0.03,Japan
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.11,Switzerland
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,1-9 / 1 000 000,0.3,Tunisia
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,<1 / 1 000 000,0.019,"Korea, Republic of"
583,Mucopolysaccharidosis type 6,Prevalence at birth,Value and class,<1 / 1 000 000,0.04,United States
583,Mucopolysaccharidosis type 6,Point prevalence,Value and class,<1 / 1 000 000,0.011,United States
166272,Odontochondrodysplasia,Cases/families,Case(s),,11.0,Worldwide
166272,Odontochondrodysplasia,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
576,Mucolipidosis type II,Prevalence at birth,Value and class,1-9 / 1 000 000,0.34,Europe
576,Mucolipidosis type II,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe
576,Mucolipidosis type II,Prevalence at birth,Value and class,1-9 / 1 000 000,0.81,Portugal
576,Mucolipidosis type II,Prevalence at birth,Value and class,1-9 / 1 000 000,0.16,Netherlands
576,Mucolipidosis type II,Prevalence at birth,Value and class,1-5 / 10 000,16.2,Specific population
576,Mucolipidosis type II,Prevalence at birth,Value and class,<1 / 1 000 000,0.05,Sweden
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Cases/families,Case(s),,3.0,Worldwide
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
812,Sialidosis type 1,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe
812,Sialidosis type 1,Prevalence at birth,Class only,<1 / 1 000 000,0.0,Europe
166282,Hereditary sick sinus syndrome,Cases/families,Case(s),,11.0,Worldwide
166282,Hereditary sick sinus syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
578,Mucolipidosis type IV,Point prevalence,Class only,Unknown,0.0,Worldwide
578,Mucolipidosis type IV,Prevalence at birth,Value and class,1-9 / 1 000 000,0.1,Sweden
578,Mucolipidosis type IV,Prevalence at birth,Value and class,1-9 / 100 000,2.5,Specific population
166286,Porokeratotic eccrine ostial and dermal duct nevus,Cases/families,Case(s),,45.0,Worldwide
166286,Porokeratotic eccrine ostial and dermal duct nevus,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
577,Mucolipidosis type III,Annual incidence,Value and class,1-9 / 1 000 000,0.985,Europe
577,Mucolipidosis type III,Annual incidence,Value and class,<1 / 1 000 000,0.08,Netherlands
577,Mucolipidosis type III,Annual incidence,Value and class,1-9 / 1 000 000,1.68,Portugal
577,Mucolipidosis type III,Point prevalence,Value and class,1-5 / 10 000,29.55,Europe
577,Mucolipidosis type III,Point prevalence,Value and class,1-9 / 100 000,2.4,Netherlands
577,Mucolipidosis type III,Point prevalence,Value and class,1-5 / 10 000,50.4,Portugal
166291,Dirofilariasis,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Cases/families,Case(s),,36.0,Worldwide
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
2912,Poliomyelitis,Point prevalence,Class only,<1 / 1 000 000,0.0,Europe
2912,Poliomyelitis,Annual incidence,Class only,<1 / 1 000 000,0.0,Europe
796,Sandhoff disease,Prevalence at birth,Value and class,1-9 / 100 000,1.49,Portugal
796,Sandhoff disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.34,Netherlands
796,Sandhoff disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.19,Czech Republic
796,Sandhoff disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.26,Australia
796,Sandhoff disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.95,Turkey
796,Sandhoff disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.3,United States
796,Sandhoff disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.67,Europe
796,Sandhoff disease,Point prevalence,Class only,1-9 / 1 000 000,0.0,Europe
796,Sandhoff disease,Prevalence at birth,Value and class,1-9 / 1 000 000,0.38,Sweden
166409,Photosensitive occipital lobe epilepsy,Point prevalence,Value and class,1-5 / 10 000,30.0,Worldwide
801,Scleroderma,Annual incidence,Value and class,1-9 / 100 000,1.41,Worldwide
801,Scleroderma,Point prevalence,Value and class,1-5 / 10 000,42.0,Worldwide
801,Scleroderma,Annual incidence,Value and class,1-9 / 100 000,1.5,Australia
801,Scleroderma,Point prevalence,Value and class,1-5 / 10 000,23.0,Australia
801,Scleroderma,Point prevalence,Value and class,>1 / 1000,469.0,Specific population
461,Recessive X-linked ichthyosis,Annual incidence,Value and class,1-5 / 10 000,15.0,Europe
461,Recessive X-linked ichthyosis,Point prevalence,Value and class,1-5 / 10 000,16.6,Europe
461,Recessive X-linked ichthyosis,Annual incidence,Value and class,1-9 / 100 000,9.9,Italy
166421,Orgasm-induced epilepsy,Cases/families,Case(s),,7.0,Worldwide
166421,Orgasm-induced epilepsy,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
166418,Eating reflex epilepsy,Point prevalence,Value and class,1-9 / 1 000 000,0.5,Worldwide
584,Mucopolysaccharidosis type 7,Point prevalence,Value and class,<1 / 1 000 000,0.01,Europe
584,Mucopolysaccharidosis type 7,Prevalence at birth,Value and class,1-9 / 1 000 000,0.24,Netherlands
584,Mucopolysaccharidosis type 7,Prevalence at birth,Value and class,<1 / 1 000 000,0.02,Brazil
584,Mucopolysaccharidosis type 7,Prevalence at birth,Value and class,<1 / 1 000 000,0.02,Czech Republic
584,Mucopolysaccharidosis type 7,Prevalence at birth,Value and class,<1 / 1 000 000,0.02,Japan
584,Mucopolysaccharidosis type 7,Prevalence at birth,Value and class,<1 / 1 000 000,0.038,Switzerland
584,Mucopolysaccharidosis type 7,Prevalence at birth,Value and class,<1 / 1 000 000,0.047,Australia
584,Mucopolysaccharidosis type 7,Point prevalence,Value and class,<1 / 1 000 000,0.007,United States
584,Mucopolysaccharidosis type 7,Prevalence at birth,Value and class,<1 / 1 000 000,0.027,United States
584,Mucopolysaccharidosis type 7,Prevalence at birth,Value and class,1-9 / 1 000 000,0.29,Canada
166412,Hot water reflex epilepsy,Point prevalence,Value and class,1-9 / 100 000,4.0,Worldwide
166433,Epilepsy with reading-induced seizures,Cases/families,Case(s),,101.0,Worldwide
166433,Epilepsy with reading-induced seizures,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,5.5,Europe
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,7.5,Austria
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,7.9,Belgium
881,Turner syndrome,Prevalence at birth,Value and class,1-5 / 10 000,10.5,Bulgaria
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,3.6,Croatia
881,Turner syndrome,Prevalence at birth,Value and class,1-5 / 10 000,10.4,Denmark
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,7.1,France
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,8.0,Germany
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,3.2,Hungary
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,7.1,Ireland
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,3.4,Italy
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,1.1,Malta
881,Turner syndrome,Prevalence at birth,Value and class,1-5 / 10 000,14.0,Netherlands
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,4.2,Norway
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,3.6,Poland
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,2.8,Portugal
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,2.8,Spain
881,Turner syndrome,Prevalence at birth,Value and class,1-5 / 10 000,22.4,Switzerland
881,Turner syndrome,Prevalence at birth,Value and class,1-5 / 10 000,10.1,United Kingdom
881,Turner syndrome,Prevalence at birth,Value and class,1-9 / 100 000,2.3,Ukraine
881,Turner syndrome,Prevalence at birth,Value and class,6-9 / 10 000,70.0,Japan
881,Turner syndrome,Prevalence at birth,Value and class,1-5 / 10 000,42.5,Singapore
881,Turner syndrome,Point prevalence,Class only,1-5 / 10 000,0.0,Europe
166424,Thinking epilepsy,Point prevalence,Class only,Unknown,0.0,Worldwide
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 100 000,2.0,Europe
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 100 000,2.3,France
95,Friedreich ataxia,Prevalence at birth,Value and class,1-9 / 100 000,2.8,Italy
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 100 000,1.1,Italy
95,Friedreich ataxia,Prevalence at birth,Value and class,1-9 / 100 000,6.2,Spain
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 100 000,4.3,Spain
95,Friedreich ataxia,Prevalence at birth,Value and class,1-9 / 100 000,1.0,Finland
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 1 000 000,0.13,Finland
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 1 000 000,0.7,Denmark
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 1 000 000,0.9,Portugal
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 100 000,1.8,United Kingdom
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 1 000 000,0.9,Greece
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 100 000,1.0,Norway
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 100 000,2.1,Germany
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 1 000 000,0.24,Sweden
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 1 000 000,0.27,Czech Republic
95,Friedreich ataxia,Point prevalence,Value and class,1-9 / 100 000,3.03,Russian Federation
848,Beta-thalassemia,Annual incidence,Value and class,1-9 / 100 000,1.0,Worldwide
848,Beta-thalassemia,Point prevalence,Value and class,1-9 / 1 000 000,0.5,France
848,Beta-thalassemia,Annual incidence,Value and class,1-5 / 10 000,10.0,Europe
848,Beta-thalassemia,Point prevalence,Class only,1-9 / 1 000 000,0.0,Europe
846,Alpha-thalassemia,Prevalence at birth,Class only,Unknown,0.0,Europe
846,Alpha-thalassemia,Prevalence at birth,Value and class,1-5 / 10 000,10.3,United States
846,Alpha-thalassemia,Point prevalence,Class only,Unknown,0.0,Europe
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,19.3912,Europe
586,Cystic fibrosis,Point prevalence,Value and class,1-5 / 10 000,11.1319,Europe
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,28.5714,Austria
586,Cystic fibrosis,Point prevalence,Value and class,1-9 / 100 000,8.39,Austria
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,35.0877,Belgium
586,Cystic fibrosis,Point prevalence,Value and class,1-5 / 10 000,20.1429,Belgium
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,40.0,Bulgaria
586,Cystic fibrosis,Point prevalence,Value and class,1-9 / 100 000,2.26,Bulgaria
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,12.6358,Cyprus
586,Cystic fibrosis,Point prevalence,Value and class,1-9 / 100 000,3.35,Cyprus
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,15.29,Czech Republic
586,Cystic fibrosis,Point prevalence,Value and class,1-9 / 100 000,8.7775,Czech Republic
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,17.41,Denmark
586,Cystic fibrosis,Point prevalence,Value and class,1-9 / 100 000,9.9946,Denmark
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,22.2222,Estonia
586,Cystic fibrosis,Point prevalence,Value and class,1-9 / 100 000,6.18,Estonia
586,Cystic fibrosis,Prevalence at birth,Value and class,1-9 / 100 000,4.0,Finland
586,Cystic fibrosis,Point prevalence,Value and class,1-9 / 100 000,1.1027,Finland
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,21.15,France
586,Cystic fibrosis,Point prevalence,Value and class,1-5 / 10 000,12.1416,France
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,19.5017,Germany
586,Cystic fibrosis,Point prevalence,Value and class,1-5 / 10 000,11.1954,Germany
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,28.5714,Greece
586,Cystic fibrosis,Point prevalence,Value and class,1-9 / 100 000,5.21,Greece
586,Cystic fibrosis,Prevalence at birth,Class only,Unknown,0.0,Hungary
586,Cystic fibrosis,Point prevalence,Value and class,1-9 / 100 000,4.09,Hungary
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,36.36,Ireland
586,Cystic fibrosis,Point prevalence,Value and class,1-5 / 10 000,20.8733,Ireland
586,Cystic fibrosis,Prevalence at birth,Value and class,1-5 / 10 000,17.809,Italy
