OrphaCode,DiseaseName,PrevalenceType,PrevalenceQualification,PrevalenceClass,ValMoy,PrevalenceGeographic
58017,Classic hairy cell leukemia,Annual incidence,Value and class,1-9 / 1 000 000,0.47,Iceland
58017,Classic hairy cell leukemia,Annual incidence,Value and class,<1 / 1 000 000,0.035,Hong Kong
58017,Classic hairy cell leukemia,Annual incidence,Value and class,1-9 / 1 000 000,0.37,Denmark
58017,Classic hairy cell leukemia,Point prevalence,Class only,1-9 / 100 000,0.0,Europe
57782,Mazabraud syndrome,Cases/families,Case(s),,54.0,Worldwide
57782,Mazabraud syndrome,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
55595,TNP03-related limb-girdle muscular dystrophy D2,Cases/families,Case(s),,64.0,Worldwide
55595,TNP03-related limb-girdle muscular dystrophy D2,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
55596,HNRNPDL-related limb-girdle muscular dystrophy D3,Cases/families,Family(ies),,2.0,Worldwide
55596,HNRNPDL-related limb-girdle muscular dystrophy D3,Point prevalence,Class only,<1 / 1 000 000,0.0,Worldwide
54595,Craniopharyngioma,Annual incidence,Value and class,1-9 / 100 000,1.0,Worldwide
54595,Craniopharyngioma,Point prevalence,Value and class,1-9 / 100 000,2.0,Europe
54595,Craniopharyngioma,Annual incidence,Value and class,1-9 / 1 000 000,0.19,United States
54595,Craniopharyngioma,Annual incidence,Value and class,1-9 / 1 000 000,0.17,Sweden
54368,Sarcocystosis,Point prevalence,Class only,Unknown,0.0,Worldwide
54370,Primary membranoproliferative glomerulonephritis,Point prevalence,Value and class,1-5 / 10 000,16.0,Europe
